Entry,Entry name,Protein names (Simplified),Gene names (primary),Gene names (synonyms),Kinase group,"Length
(AA)",Mass,"Protein names 
(Including synonyms)"
P22694,KAPCB_HUMAN,cAMP-dependent protein kinase catalytic subunit beta ,PRKACB,,AGC,351,"40,623",cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11)
P22612,KAPCG_HUMAN,cAMP-dependent protein kinase catalytic subunit gamma ,PRKACG,,AGC,351,"40,434",cAMP-dependent protein kinase catalytic subunit gamma (PKA C-gamma) (EC 2.7.11.11)
P17252,KPCA_HUMAN,Protein kinase C alpha type ,PRKCA,PKCA PRKACA,AGC,672,"76,750",Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13)
P05771,KPCB_HUMAN,Protein kinase C beta type ,PRKCB,PKCB PRKCB1,AGC,671,"76,869",Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13)
Q05655,KPCD_HUMAN,Protein kinase C delta type ,PRKCD,,AGC,676,"77,505",Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)]
Q02156,KPCE_HUMAN,Protein kinase C epsilon type ,PRKCE,PKCE,AGC,737,"83,674",Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)
P05129,KPCG_HUMAN,Protein kinase C gamma type ,PRKCG,PKCG,AGC,697,"78,448",Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13)
P24723,KPCL_HUMAN,Protein kinase C eta type ,PRKCH,PKCL PRKCL,AGC,683,"77,828",Protein kinase C eta type (EC 2.7.11.13) (PKC-L) (nPKC-eta)
P41743,KPCI_HUMAN,Protein kinase C iota type ,PRKCI,DXS1179E,AGC,596,"68,262",Protein kinase C iota type (EC 2.7.11.13) (Atypical protein kinase C-lambda/iota) (PRKC-lambda/iota) (aPKC-lambda/iota) (nPKC-iota)
Q04759,KPCT_HUMAN,Protein kinase C theta type ,PRKCQ,PRKCT,AGC,706,"81,865",Protein kinase C theta type (EC 2.7.11.13) (nPKC-theta)
Q05513,KPCZ_HUMAN,Protein kinase C zeta type ,PRKCZ,PKC2,AGC,592,"67,660",Protein kinase C zeta type (EC 2.7.11.13) (nPKC-zeta)
Q15139,KPCD1_HUMAN,Serine/threonine-protein kinase D1 ,PRKD1,PKD PKD1 PRKCM,CAMK,912,"101,704",Serine/threonine-protein kinase D1 (EC 2.7.11.13) (Protein kinase C mu type) (Protein kinase D) (nPKC-D1) (nPKC-mu)
Q9BZL6,KPCD2_HUMAN,Serine/threonine-protein kinase D2 ,PRKD2,PKD2,CAMK,878,"96,722",Serine/threonine-protein kinase D2 (EC 2.7.11.13) (nPKC-D2)
O94806,KPCD3_HUMAN,Serine/threonine-protein kinase D3 ,PRKD3,EPK2 PRKCN,CAMK,890,"100,471",Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu)
P78527,PRKDC_HUMAN,DNA-dependent protein kinase catalytic subunit ,PRKDC,HYRC HYRC1,Atypical,4128,"469,089",DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)
Q13976,KGP1_HUMAN,cGMP-dependent protein kinase 1 ,PRKG1,PRKG1B PRKGR1A PRKGR1B,AGC,671,"76,364",cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI)
Q13237,KGP2_HUMAN,cGMP-dependent protein kinase 2 ,PRKG2,PRKGR2,AGC,762,"87,432",cGMP-dependent protein kinase 2 (cGK 2) (cGK2) (EC 2.7.11.12) (cGMP-dependent protein kinase II) (cGKII)
P51817,PRKX_HUMAN,cAMP-dependent protein kinase catalytic subunit PRKX ,PRKX,PKX1,AGC,358,"40,896",cAMP-dependent protein kinase catalytic subunit PRKX (PrKX) (Protein kinase X) (Protein kinase X-linked) (Serine/threonine-protein kinase PRKX) (EC 2.7.11.1) (Protein kinase PKX1)
O43930,PRKY_HUMAN,Putative serine/threonine-protein kinase PRKY ,PRKY,,AGC,277,"31,708",Putative serine/threonine-protein kinase PRKY (EC 2.7.11.1)
Q13523,PRP4B_HUMAN,Serine/threonine-protein kinase PRP4 homolog ,PRPF4B,KIAA0536 PRP4 PRP4H PRP4K,CMGC,1007,"116,987",Serine/threonine-protein kinase PRP4 homolog (EC 2.7.11.1) (PRP4 kinase) (PRP4 pre-mRNA-processing factor 4 homolog)
P60891,PRPS1_HUMAN,Ribose-phosphate pyrophosphokinase 1 ,PRPS1,,,318,"34,834",Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase I) (PRS-I)
P21108,PRPS3_HUMAN,Ribose-phosphate pyrophosphokinase 3 ,PRPS1L1,PRPS3 PRPSL,,318,"34,839",Ribose-phosphate pyrophosphokinase 3 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 1-like 1) (PRPS1-like 1) (Phosphoribosyl pyrophosphate synthase III) (PRS-III)
P11908,PRPS2_HUMAN,Ribose-phosphate pyrophosphokinase 2 ,PRPS2,,,318,"34,769",Ribose-phosphate pyrophosphokinase 2 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase II) (PRS-II)
P11801,KPSH1_HUMAN,Serine/threonine-protein kinase H1 ,PSKH1,,CAMK,424,"48,035",Serine/threonine-protein kinase H1 (EC 2.7.11.1) (Protein serine kinase H1) (PSK-H1)
Q96QS6,KPSH2_HUMAN,Serine/threonine-protein kinase H2 ,PSKH2,,CAMK,385,"43,027",Serine/threonine-protein kinase H2 (EC 2.7.11.1) (Protein serine kinase H2) (PSK-H2)
Q8IV42,PSTK_HUMAN,L-seryl-tRNA,PSTK,C10orf89,,348,"39,527",L-seryl-tRNA(Sec) kinase (EC 2.7.1.164) (O-phosphoseryl-tRNA(Sec) kinase)
Q05397,FAK1_HUMAN,Focal adhesion kinase 1 ,PTK2,FAK FAK1,TK,1052,"119,233",Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)
Q14289,FAK2_HUMAN,Protein-tyrosine kinase 2-beta ,PTK2B,FAK2 PYK2 RAFTK,TK,1009,"115,875",Protein-tyrosine kinase 2-beta (EC 2.7.10.2) (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK)
Q13882,PTK6_HUMAN,Protein-tyrosine kinase 6 ,PTK6,BRK,TK,451,"51,834",Protein-tyrosine kinase 6 (EC 2.7.10.2) (Breast tumor kinase) (Tyrosine-protein kinase BRK)
P04049,RAF1_HUMAN,RAF proto-oncogene serine/threonine-protein kinase ,RAF1,RAF,TKL,648,"73,052",RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1)
Q9H477,RBSK_HUMAN,Ribokinase ,RBKS,RBSK,,322,"34,143",Ribokinase (RK) (EC 2.7.1.15)
P07949,RET_HUMAN,Proto-oncogene tyrosine-protein kinase receptor Ret ,RET,CDHF12 CDHR16 PTC RET51,TK,1114,"124,319",Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]
Q969G6,RIFK_HUMAN,Riboflavin kinase ,RFK,,,155,"17,623",Riboflavin kinase (EC 2.7.1.26) (ATP:riboflavin 5'-phosphotransferase) (Flavokinase)
Q9BRS2,RIOK1_HUMAN,Serine/threonine-protein kinase RIO1 ,RIOK1,RIO1,Atypical,568,"65,583",Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.3.-) (RIO kinase 1)
Q9BVS4,RIOK2_HUMAN,Serine/threonine-protein kinase RIO2 ,RIOK2,RIO2,Atypical,552,"63,283",Serine/threonine-protein kinase RIO2 (EC 2.7.11.1) (RIO kinase 2)
O14730,RIOK3_HUMAN,Serine/threonine-protein kinase RIO3 ,RIOK3,SUDD,Atypical,519,"59,093",Serine/threonine-protein kinase RIO3 (EC 2.7.11.1) (RIO kinase 3) (sudD homolog)
Q13546,RIPK1_HUMAN,Receptor-interacting serine/threonine-protein kinase 1 ,RIPK1,RIP RIP1,TKL,671,"75,931",Receptor-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (Cell death protein RIP) (Receptor-interacting protein 1) (RIP-1)
O43353,RIPK2_HUMAN,Receptor-interacting serine/threonine-protein kinase 2 ,RIPK2,CARDIAK RICK RIP2,TKL,540,"61,195",Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (CARD-containing interleukin-1 beta-converting enzyme-associated kinase) (CARD-containing IL-1 beta ICE-kinase) (RIP-like-interacting CLARP kinase) (Receptor-interacting protein 2) (RIP-2) (Tyrosine-protein kinase RIPK2) (EC 2.7.10.2)
Q9Y572,RIPK3_HUMAN,Receptor-interacting serine/threonine-protein kinase 3 ,RIPK3,RIP3,TKL,518,"56,887",Receptor-interacting serine/threonine-protein kinase 3 (EC 2.7.11.1) (RIP-like protein kinase 3) (Receptor-interacting protein 3) (RIP-3)
P57078,RIPK4_HUMAN,Receptor-interacting serine/threonine-protein kinase 4 ,RIPK4,ANKRD3 DIK,TKL,832,"91,611",Receptor-interacting serine/threonine-protein kinase 4 (EC 2.7.11.1) (Ankyrin repeat domain-containing protein 3) (PKC-delta-interacting protein kinase)
Q13464,ROCK1_HUMAN,Rho-associated protein kinase 1 ,ROCK1,,AGC,1354,"158,175","Rho-associated protein kinase 1 (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-35) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (ROCK-I) (p160 ROCK-1) (p160ROCK)"
O75116,ROCK2_HUMAN,Rho-associated protein kinase 2 ,ROCK2,KIAA0619,AGC,1388,"160,900","Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)"
Q01973,ROR1_HUMAN,Inactive tyrosine-protein kinase transmembrane receptor ROR1 ,ROR1,NTRKR1,TK,937,"104,283","Inactive tyrosine-protein kinase transmembrane receptor ROR1 (Neurotrophic tyrosine kinase, receptor-related 1)"
Q01974,ROR2_HUMAN,Tyrosine-protein kinase transmembrane receptor ROR2 ,ROR2,NTRKR2,TK,943,"104,757","Tyrosine-protein kinase transmembrane receptor ROR2 (EC 2.7.10.1) (Neurotrophic tyrosine kinase, receptor-related 2)"
P08922,ROS1_HUMAN,Proto-oncogene tyrosine-protein kinase ROS ,ROS1,MCF3 ROS,TK,2347,"263,915",Proto-oncogene tyrosine-protein kinase ROS (EC 2.7.10.1) (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase)
Q15418,KS6A1_HUMAN,Ribosomal protein S6 kinase alpha-1 ,RPS6KA1,MAPKAPK1A RSK1,AGC,735,"82,723",Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1)
Q15349,KS6A2_HUMAN,Ribosomal protein S6 kinase alpha-2 ,RPS6KA2,MAPKAPK1C RSK3,AGC,733,"83,239",Ribosomal protein S6 kinase alpha-2 (S6K-alpha-2) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 2) (p90-RSK 2) (p90RSK2) (MAP kinase-activated protein kinase 1c) (MAPK-activated protein kinase 1c) (MAPKAP kinase 1c) (MAPKAPK-1c) (Ribosomal S6 kinase 3) (RSK-3) (pp90RSK3)
P51812,KS6A3_HUMAN,Ribosomal protein S6 kinase alpha-3 ,RPS6KA3,ISPK1 MAPKAPK1B RSK2,AGC,740,"83,736",Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2)
O75676,KS6A4_HUMAN,Ribosomal protein S6 kinase alpha-4 ,RPS6KA4,MSK2,AGC,772,"85,606",Ribosomal protein S6 kinase alpha-4 (S6K-alpha-4) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 4) (Nuclear mitogen- and stress-activated protein kinase 2) (Ribosomal protein kinase B) (RSKB)
O75582,KS6A5_HUMAN,Ribosomal protein S6 kinase alpha-5 ,RPS6KA5,MSK1,AGC,802,"89,865",Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL)
Q9UK32,KS6A6_HUMAN,Ribosomal protein S6 kinase alpha-6 ,RPS6KA6,RSK4,AGC,745,"83,872",Ribosomal protein S6 kinase alpha-6 (S6K-alpha-6) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 6) (p90-RSK 6) (p90RSK6) (Ribosomal S6 kinase 4) (RSK-4) (pp90RSK4)
P23443,KS6B1_HUMAN,Ribosomal protein S6 kinase beta-1 ,RPS6KB1,STK14A,AGC,525,"59,140",Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA)
Q9UBS0,KS6B2_HUMAN,Ribosomal protein S6 kinase beta-2 ,RPS6KB2,STK14B,AGC,482,"53,455",Ribosomal protein S6 kinase beta-2 (S6K-beta-2) (S6K2) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 2) (P70S6K2) (p70-S6K 2) (S6 kinase-related kinase) (SRK) (Serine/threonine-protein kinase 14B) (p70 ribosomal S6 kinase beta) (S6K-beta) (p70 S6 kinase beta) (p70 S6K-beta) (p70 S6KB) (p70-beta)
Q96S38,KS6C1_HUMAN,Ribosomal protein S6 kinase delta-1 ,RPS6KC1,RPK118,AGC,1066,"118,682",Ribosomal protein S6 kinase delta-1 (S6K-delta-1) (EC 2.7.11.1) (52 kDa ribosomal protein S6 kinase) (Ribosomal S6 kinase-like protein with two PSK domains 118 kDa protein) (SPHK1-binding protein)
Q9Y6S9,RPKL1_HUMAN,Ribosomal protein S6 kinase-like 1 ,RPS6KL1,,AGC,549,"60,036",Ribosomal protein S6 kinase-like 1 (EC 2.7.11.1)
Q96LW2,KS6R_HUMAN,Ribosomal protein S6 kinase-related protein ,RSKR,SGK494,AGC,410,"46,191",Ribosomal protein S6 kinase-related protein (EC 2.7.11.1) (Sugen kinase 494)
P34925,RYK_HUMAN,Tyrosine-protein kinase RYK ,RYK,JTK5A,TK,607,"67,815",Tyrosine-protein kinase RYK (EC 2.7.10.1)
Q52WX2,SBK1_HUMAN,Serine/threonine-protein kinase SBK1 ,SBK1,,Other,424,"46,252",Serine/threonine-protein kinase SBK1 (EC 2.7.11.1) (SH3-binding kinase 1)
P0C263,SBK2_HUMAN,Serine/threonine-protein kinase SBK2 ,SBK2,SGK069,Other,348,"38,088",Serine/threonine-protein kinase SBK2 (EC 2.7.11.1) (SH3-binding domain kinase family member 2) (Sugen kinase 69) (SgK069)
P0C264,SBK3_HUMAN,Uncharacterized serine/threonine-protein kinase SBK3 ,SBK3,SGK110,Other,359,"38,488",Uncharacterized serine/threonine-protein kinase SBK3 (EC 2.7.11.1) (SH3-binding domain kinase family member 3) (Sugen kinase 110)
P49903,SPS1_HUMAN,"Selenide, water dikinase 1 ",SEPHS1,SELD SPS SPS1,,392,"42,911","Selenide, water dikinase 1 (EC 2.7.9.3) (Selenium donor protein 1) (Selenophosphate synthase 1)"
Q99611,SPS2_HUMAN,"Selenide, water dikinase 2 ",SEPHS2,SPS2,,448,"47,305","Selenide, water dikinase 2 (EC 2.7.9.3) (Selenium donor protein 2) (Selenophosphate synthase 2)"
O00141,SGK1_HUMAN,Serine/threonine-protein kinase Sgk1 ,SGK1,SGK,AGC,431,"48,942",Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)
Q9HBY8,SGK2_HUMAN,Serine/threonine-protein kinase Sgk2 ,SGK2,,AGC,427,"47,604",Serine/threonine-protein kinase Sgk2 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 2)
Q96BR1,SGK3_HUMAN,Serine/threonine-protein kinase Sgk3 ,SGK3,CISK SGKL,AGC,496,"57,108",Serine/threonine-protein kinase Sgk3 (EC 2.7.11.1) (Cytokine-independent survival kinase) (Serum/glucocorticoid-regulated kinase 3) (Serum/glucocorticoid-regulated kinase-like)
Q86VZ5,SMS1_HUMAN,Phosphatidylcholine:ceramide cholinephosphotransferase 1 ,SGMS1,MOB SMS1 TMEM23,,413,"48,617",Phosphatidylcholine:ceramide cholinephosphotransferase 1 (EC 2.7.8.27) (Medulla oblongata-derived protein) (Protein Mob) (Sphingomyelin synthase 1) (Transmembrane protein 23)
Q8NHU3,SMS2_HUMAN,Phosphatidylcholine:ceramide cholinephosphotransferase 2 ,SGMS2,SMS2,,365,"42,280",Phosphatidylcholine:ceramide cholinephosphotransferase 2 (EC 2.7.8.27) (Sphingomyelin synthase 2)
Q9UHJ6,SHPK_HUMAN,Sedoheptulokinase ,SHPK,CARKL,,478,"51,491",Sedoheptulokinase (SHK) (EC 2.7.1.14) (Carbohydrate kinase-like protein)
P57059,SIK1_HUMAN,Serine/threonine-protein kinase SIK1 ,SIK1,SIK SNF1LK,CAMK,783,"84,902",Serine/threonine-protein kinase SIK1 (EC 2.7.11.1) (Salt-inducible kinase 1) (SIK-1) (Serine/threonine-protein kinase SNF1-like kinase 1) (Serine/threonine-protein kinase SNF1LK)
A0A0B4J2F2,SIK1B_HUMAN,Probable serine/threonine-protein kinase SIK1B ,SIK1B,,,783,"84,930",Probable serine/threonine-protein kinase SIK1B (EC 2.7.11.1) (Salt-inducible kinase 1B)
Q9H0K1,SIK2_HUMAN,Serine/threonine-protein kinase SIK2 ,SIK2,KIAA0781 QIK SNF1LK2,CAMK,926,"103,915",Serine/threonine-protein kinase SIK2 (EC 2.7.11.1) (Qin-induced kinase) (Salt-inducible kinase 2) (SIK-2) (Serine/threonine-protein kinase SNF1-like kinase 2)
Q9Y2K2,SIK3_HUMAN,Serine/threonine-protein kinase SIK3 ,SIK3,KIAA0999 QSK,CAMK,1321,"144,851",Serine/threonine-protein kinase SIK3 (EC 2.7.11.1) (Salt-inducible kinase 3) (SIK-3) (Serine/threonine-protein kinase QSK)
Q9H2G2,SLK_HUMAN,STE20-like serine/threonine-protein kinase ,SLK,KIAA0204 STK2,STE,1235,"142,695",STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK) (EC 2.7.11.1) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2)
Q96Q15,SMG1_HUMAN,Serine/threonine-protein kinase SMG1 ,SMG1,ATX KIAA0421 LIP,Atypical,3661,"410,501",Serine/threonine-protein kinase SMG1 (SMG-1) (hSMG-1) (EC 2.7.11.1) (61E3.4) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein)
Q9NRH2,SNRK_HUMAN,SNF-related serine/threonine-protein kinase ,SNRK,KIAA0096 SNFRK,CAMK,765,"84,276",SNF-related serine/threonine-protein kinase (EC 2.7.11.1) (SNF1-related kinase)
Q15772,SPEG_HUMAN,Striated muscle preferentially expressed protein kinase ,SPEG,APEG1 KIAA1297,CAMK,3267,"354,289",Striated muscle preferentially expressed protein kinase (EC 2.7.11.1) (Aortic preferentially expressed protein 1) (APEG-1)
Q9NYA1,SPHK1_HUMAN,Sphingosine kinase 1 ,SPHK1,SK1 SPHK SPK,,384,"42,518",Sphingosine kinase 1 (SK 1) (SPK 1) (EC 2.7.1.91) (Acetyltransferase SPHK1) (EC 2.3.1.-)
Q9NRA0,SPHK2_HUMAN,Sphingosine kinase 2 ,SPHK2,SK2,,654,"69,217",Sphingosine kinase 2 (SK 2) (SPK 2) (EC 2.7.1.91)
P12931,SRC_HUMAN,Proto-oncogene tyrosine-protein kinase Src ,SRC,SRC1,TK,536,"59,835",Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)
Q9H3Y6,SRMS_HUMAN,Tyrosine-protein kinase Srms ,SRMS,C20orf148,TK,488,"54,507",Tyrosine-protein kinase Srms (EC 2.7.10.2)
Q96SB4,SRPK1_HUMAN,SRSF protein kinase 1 ,SRPK1,,CMGC,655,"74,325",SRSF protein kinase 1 (EC 2.7.11.1) (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1) (SR-protein-specific kinase 1)
P78362,SRPK2_HUMAN,SRSF protein kinase 2 ,SRPK2,,CMGC,688,"77,527",SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal]
Q9UPE1,SRPK3_HUMAN,SRSF protein kinase 3 ,SRPK3,MSSK1 STK23,CMGC,567,"62,014",SRSF protein kinase 3 (EC 2.7.11.1) (Muscle-specific serine kinase 1) (MSSK-1) (Serine/arginine-rich protein-specific kinase 3) (SR-protein-specific kinase 3) (Serine/threonine-protein kinase 23)
O94804,STK10_HUMAN,Serine/threonine-protein kinase 10 ,STK10,LOK,STE,968,"112,135",Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase)
Q15831,STK11_HUMAN,Serine/threonine-protein kinase STK11 ,STK11,LKB1 PJS,CAMK,433,"48,636",Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19)
O75716,STK16_HUMAN,Serine/threonine-protein kinase 16 ,STK16,MPSK1 PKL12 TSF1,Other,305,"34,656",Serine/threonine-protein kinase 16 (EC 2.7.11.1) (Myristoylated and palmitoylated serine/threonine-protein kinase) (MPSK) (Protein kinase PKL12) (TGF-beta-stimulated factor 1) (TSF-1) (Tyrosine-protein kinase STK16) (EC 2.7.10.2) (hPSK)
Q9UEE5,ST17A_HUMAN,Serine/threonine-protein kinase 17A ,STK17A,DRAK1,CAMK,414,"46,558",Serine/threonine-protein kinase 17A (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 1)
O94768,ST17B_HUMAN,Serine/threonine-protein kinase 17B ,STK17B,DRAK2,CAMK,372,"42,344",Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2)
P49842,STK19_HUMAN,Serine/threonine-protein kinase 19 ,STK19,G11 RP1,Atypical,368,"40,916",Serine/threonine-protein kinase 19 (EC 2.7.11.1) (Protein G11) (Protein RP1)
Q9Y6E0,STK24_HUMAN,Serine/threonine-protein kinase 24 ,STK24,MST3 STK3,STE,443,"49,308",Serine/threonine-protein kinase 24 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 3) (MST-3) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 36 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal) (MST3/N); Serine/threonine-protein kinase 24 12 kDa subunit (Mammalian STE20-like protein kinase 3 C-terminal) (MST3/C)]
O00506,STK25_HUMAN,Serine/threonine-protein kinase 25 ,STK25,SOK1 YSK1,STE,426,"48,112",Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)
Q9P289,STK26_HUMAN,Serine/threonine-protein kinase 26 ,STK26,MASK MST4,STE,416,"46,529",Serine/threonine-protein kinase 26 (EC 2.7.11.1) (MST3 and SOK1-related kinase) (Mammalian STE20-like protein kinase 4) (MST-4) (STE20-like kinase MST4) (Serine/threonine-protein kinase MASK)
Q13188,STK3_HUMAN,Serine/threonine-protein kinase 3 ,STK3,KRS1 MST2,STE,491,"56,301",Serine/threonine-protein kinase 3 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 2) (MST-2) (STE20-like kinase MST2) (Serine/threonine-protein kinase Krs-1) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)]
Q9BXU1,STK31_HUMAN,Serine/threonine-protein kinase 31 ,STK31,SGK396,Other,1019,"115,694",Serine/threonine-protein kinase 31 (EC 2.7.11.1) (Serine/threonine-protein kinase NYD-SPK) (Sugen kinase 396) (SgK396)
Q8WU08,ST32A_HUMAN,Serine/threonine-protein kinase 32A ,STK32A,YANK1,AGC,396,"46,369",Serine/threonine-protein kinase 32A (EC 2.7.11.1) (Yet another novel kinase 1)
Q9NY57,ST32B_HUMAN,Serine/threonine-protein kinase 32B ,STK32B,YANK2,AGC,414,"47,883",Serine/threonine-protein kinase 32B (EC 2.7.11.1) (Yet another novel kinase 2)
Q86UX6,ST32C_HUMAN,Serine/threonine-protein kinase 32C ,STK32C,YANK3,AGC,486,"54,994",Serine/threonine-protein kinase 32C (EC 2.7.11.1) (PKE) (Yet another novel kinase 3)
Q9BYT3,STK33_HUMAN,Serine/threonine-protein kinase 33 ,STK33,,CAMK,514,"57,831",Serine/threonine-protein kinase 33 (EC 2.7.11.1)
Q8TDR2,STK35_HUMAN,Serine/threonine-protein kinase 35 ,STK35,CLIK1 PDIK1 STK35L1,Other,534,"58,051",Serine/threonine-protein kinase 35 (EC 2.7.11.1) (CLP-36-interacting kinase 1) (CLIK-1) (PDLIM1-interacting kinase 1) (Serine/threonine-protein kinase 35 L1)
Q9NRP7,STK36_HUMAN,Serine/threonine-protein kinase 36 ,STK36,KIAA1278,Other,1315,"143,995",Serine/threonine-protein kinase 36 (EC 2.7.11.1) (Fused homolog)
Q15208,STK38_HUMAN,Serine/threonine-protein kinase 38 ,STK38,NDR1,AGC,465,"54,190",Serine/threonine-protein kinase 38 (EC 2.7.11.1) (NDR1 protein kinase) (Nuclear Dbf2-related kinase 1)
Q9Y2H1,ST38L_HUMAN,Serine/threonine-protein kinase 38-like ,STK38L,KIAA0965 NDR2,AGC,464,"54,003",Serine/threonine-protein kinase 38-like (EC 2.7.11.1) (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2)
